Grapheme	IPA
aúhsus	ɔ h s u s
aúhuma	ɔ h u m a
auja	ɔ j a
auk	ɔ k
aukn	ɔ k n̥
aur	ɔ r
aurahi	ɔ r a h ɪ
aurahs	ɔ r a h s
aúrāli	ɔ r a l ɪ
aúrkeis	ɔ r k i s
aúrtigards	ɔ r t ɪ ɣ a r d s
aúrtja	ɔ r t j a
aúrts	ɔ r t s
aus	ɔ s
ausahriggs	ɔ s a h r ɪ ŋ ɡ s
ausō	ɔ s o
austra	ɔ s t r a
Austrogoti	ɔ s t r o ɣ o t ɪ
auþeis	ɔ θ i s
auþida	ɔ θ ɪ ð a
awa	a w a
awēþi	a w e θ ɪ
awi	a w ɪ
awiliudōn	a w ɪ l ɪ u ð o n
awiliuþ	a w ɪ l ɪ u θ
awistr	a w ɪ s t r̥
awō	a w o
aza	a z a
azētaba	a z e t a β a
azēti	a z e t ɪ
azēts	a z e t s
azgō	a z ɡ o
azwmus	a z w m u s
ba	b a
badi	b a ð ɪ
badu	b a ð u
baggwiþa	b a ɡ ɡ w ɪ θ a
bagks	b a ŋ k s
bagms	b a ɣ m̥ s
bai	b ɛ
baidj	b ɛ ð j
baira	b ɛ r a
baírabagms	b ɛ r a β a ɣ m̥ s
baír	b ɛ r
baírga	b ɛ r ɡ a
baírgahei	b ɛ r ɡ a h i
baírgahs	b ɛ r ɡ a h s
baírg	b ɛ r ɡ
bairgō	b ɛ r ɡ o
baírgs	b ɛ r ɡ s
baírhtaba	b ɛ r h t a β a
baírhtei	b ɛ r h t i
baírhteins	b ɛ r h t i n s
baírhtj	b ɛ r h t j
baírhts	b ɛ r h t s
baírka	b ɛ r k a
baitraba	b ɛ t r a β a
baitrei	b ɛ t r i
baitrs	b ɛ t r̥ s
bajōþs	b a j o θ s
bala	b a l a
balgbrust	b a l ɡ b r u s t
balgs	b a l ɡ s
bals	b a l s
balþaba	b a l θ a β a
balþei	b a l θ i
balþj	b a l θ j
balþs	b a l θ s
balu	b a l u
balus	b a l u s
balwaweis	b a l w a w i s
balwawēsei	b a l w a w e s i
balweins	b a l w i n s
balwj	b a l w j
bandi	b a n d ɪ
bandja	b a n d j a
bandwa	b a n d w a
bandwj	b a n d w j
bandwō	b a n d w o
banja	b a n j a
bannwīda	b a nː w i ð a
bansts	b a n s t s
bara	b a r a
barbarus	b a r b a r u s
bards	b a r d s
baris	b a r ɪ s
barizeins	b a r ɪ z i n s
barms	b a r m̥ s
barn	b a r n̥
barnahs	b a r n a h s
barnilō	b a r n ɪ l o
barniskei	b a r n ɪ s k i
barniski	b a r n ɪ s k ɪ
barnisks	b a r n ɪ s k s
barsiks	b a r s ɪ k s
barusnj	b a r u s n j
bas	b a s
basi	b a s ɪ
bata	b a t a
batis	b a t ɪ s
batiza	b a t ɪ z a
batn	b a t n̥
báuains	b ɔ ɛ n s
báu	b ɔ
baudes	b ɔ ð e s
baugj	b ɔ ɣ j
baugs	b ɔ ɣ s
baulj	b ɔ l j
bauljō	b ɔ l j o
baúr	b ɔ r
baúrans	b ɔ r a n s
baúrd	b ɔ r d
baúrgja	b ɔ r ɡ j a
baúrgj	b ɔ r ɡ j
baúrgs	b ɔ r ɡ s
baúrgswaddjus	b ɔ r ɡ s w a dː j u s
baúrjōþus	b ɔ r j o θ u s
baurs	b ɔ r s
baúrsti	b ɔ r s t ɪ
baurtils	b ɔ r t ɪ l s
baúrþei	b ɔ r θ i
baúrþs	b ɔ r θ s
bausei	b ɔ s i
baut	b ɔ t
