Grapheme	IPA
kunþi	k u n θ ɪ
kunþj	k u n θ j
kunþs	k u n θ s
kuskeis	k u s k i s
kusma	k u s m a
kusts	k u s t s
kustus	k u s t u s
Kwreinaius	k w r i n ɛ u s
laggamōdei	l a ŋ ɡ a m o ð i
laggamōþs	l a ŋ ɡ a m o θ s
laggei	l a ŋ ɡ i
laggs	l a ŋ ɡ s
lagj	l a ɣ j
lagus	l a ɣ u s
lái	l ɛ
laiba	l ɛ β a
laibj	l ɛ β j
laidj	l ɛ ð j
laif	l ɛ ɸ
laigaiōn	l ɛ ɣ ɛ o n
laigōn	l ɛ ɣ o n
laik	l ɛ k
laiks	l ɛ k s
laíktjō	l ɛ k t j o
lais	l ɛ s
laisāreis	l ɛ s a r i s
laiseigs	l ɛ s i ɣ s
laiseins	l ɛ s i n s
laisiþs	l ɛ s ɪ θ s
laisj	l ɛ s j
laisō	l ɛ s o
laistj	l ɛ s t j
laistōn	l ɛ s t o n
laists	l ɛ s t s
laiþs	l ɛ θ s
Laiwweitus	l ɛ wː i t u s
lamb	l a m b
lameis	l a m i s
land	l a n d
landjō	l a n d j o
lapins	l a p ɪ n s
lasiws	l a s ɪ w s
laska	l a s k a
latei	l a t i
latj	l a t j
lats	l a t s
laþa	l a θ a
laþaleikō	l a θ a l i k o
laþaleiks	l a θ a l i k s
laþōn	l a θ o n
laþōns	l a θ o n s
laubei	l ɔ β i
laubja	l ɔ β j a
laubj	l ɔ β j
laubjōlaubi	l ɔ β j o l ɔ β ɪ
laudi	l ɔ ð ɪ
laufs	l ɔ ɸ s
laugnj	l ɔ ɣ n j
laugns	l ɔ ɣ n̥ s
lauhatj	l ɔ h a t j
lauhmuni	l ɔ h m u n ɪ
laun	l ɔ n
launawargs	l ɔ n a w a r ɡ s
launi	l ɔ n ɪ
laus	l ɔ s
lausawaúrdei	l ɔ s a w ɔ r d i
lausawaúrdi	l ɔ s a w ɔ r d ɪ
lausawaúrds	l ɔ s a w ɔ r d s
lauseins	l ɔ s i n s
laushandja	l ɔ s h a n d j a
laushandus	l ɔ s h a n d u s
lausj	l ɔ s j
lausqiþrei	l ɔ s kʷ ɪ θ r i
lausqiþrs	l ɔ s kʷ ɪ θ r̥ s
lauþs	l ɔ θ s
leihts	l i h t s
leiƕansis	l i ʍ a n s ɪ s
leik	l i k
leikains	l i k ɛ n s
leikei	l i k i
leikeins	l i k i n s
lein	l i n
leis	l i s
leisei	l i s i
leista	l i s t a
leitils	l i t ɪ l s
leiþ	l i θ
leiþu	l i θ u
lēkeis	l e k i s
lēkinassus	l e k ɪ n a sː u s
lēkinōn	l e k ɪ n o n
leodes	l e o ð e s
lēt	l e t
lētn	l e t n̥
lēts	l e t s
leuba	l e u β a
leuda	l e u ð a
leudis	l e u ð ɪ s
lēw	l e w
lēwj	l e w j
libains	l ɪ β ɛ n s
lib	l ɪ β
lif	l ɪ ɸ
lifn	l ɪ ɸ n̥
lifs	l ɪ ɸ s
lig	l ɪ ɣ
ligrs	l ɪ ɣ r̥ s
lima	l ɪ m a
lind	l ɪ n d
linda	l ɪ n d a
līs	l i s
lis	l ɪ s
liska	l ɪ s k a
lista	l ɪ s t a
listeigs	l ɪ s t i ɣ s
lists	l ɪ s t s
lita	l ɪ t a
liteins	l ɪ t i n s
litj	l ɪ t j
liþus	l ɪ θ u s
liubaleiks	l ɪ u β a l i k s
liud	l ɪ u ð
liufs	l ɪ u ɸ s
liug	l ɪ u ɣ
liuga	l ɪ u ɣ a
liugaiþs	l ɪ u ɣ ɛ θ s
liugands	l ɪ u ɣ a n d s
liugn	l ɪ u ɣ n̥
liugnapraufētus	l ɪ u ɣ n a p r ɔ ɸ e t u s
liugnawaúrds	l ɪ u ɣ n a w ɔ r d s
liugnja	l ɪ u ɣ n j a
liuhadei	l ɪ u h a ð i
liuhadeins	l ɪ u h a ð i n s
liuhaþ	l ɪ u h a θ
liuhtj	l ɪ u h t j
liuhts	l ɪ u h t s
lius	l ɪ u s
liuta	l ɪ u t a
liutei	l ɪ u t i
liuts	l ɪ u t s
liuþ	l ɪ u θ
liuþāreis	l ɪ u θ a r i s
liuþōn	l ɪ u θ o n
liuþs	l ɪ u θ s
liwa	l ɪ w a
lōfa	l o ɸ a
lōna	l o n a
lōþr	l o θ r̥
lubains	l u β ɛ n s
lub	l u β
lubi	l u β ɪ
lubjaleis	l u β j a l i s
lubjaleisei	l u β j a l i s i
lubō	l u β o
ludja	l u ð j a
lufeis	l u ɸ i s
luftus	l u ɸ t u s
luk	l u k
lūk	l u k
lukarn	l u k a r n̥
lukarnastaþa	l u k a r n a s t a θ a
lūkn	l u k n̥
luneins	l u n i n s
lunj	l u n j
luns	l u n s
lusn	l u s n̥
lustōn	l u s t o n
lusts	l u s t s
lustus	l u s t u s
lustusama	l u s t u s a m a
lutōn	l u t o n
mag	m a ɣ
magaþei	m a ɣ a θ i
magaþs	m a ɣ a θ s
magula	m a ɣ u l a
magus	m a ɣ u s
mahteigs	m a h t i ɣ s
mahts	m a h t s
maideins	m ɛ ð i n s
maidj	m ɛ ð j
maíhstus	m ɛ h s t u s
mail	m ɛ l
maímbrana	m ɛ m b r a n a
mains	m ɛ n s
mais	m ɛ s
maist	m ɛ s t
maists	m ɛ s t s
mait	m ɛ t
maiþms	m ɛ θ m̥ s
maiþs	m ɛ θ s
maiza	m ɛ z a
maizō	m ɛ z o
mala	m a l a
mal	m a l
malma	m a l m a
malō	m a l o
malsks	m a l s k s
malteins	m a l t i n s
maltj	m a l t j
malwj	m a l w j
mammō	m a mː o
mammōna	m a mː o n a
m	m
managdūþs	m a n a ɣ d u θ s
managei	m a n a ɣ i
managfalþs	m a n a ɣ ɸ a l θ s
managj	m a n a ɣ j
managn	m a n a ɣ n̥
manags	m a n a ɣ s
manamaúrþrja	m a n a m ɔ r θ r j a
manariggws	m a n a r ɪ ɡ ɡ w s
manasēþs	m a n a s e θ s
manauli	m a n ɔ l ɪ
manleika	m a n l i k a
manna	m a nː a
mannahun	m a nː a h u n
manniskōdus	m a nː ɪ s k o ð u s
mannisks	m a nː ɪ s k s
manwiþa	m a n w ɪ θ a
manwj	m a n w j
manwuba	m a n w u β a
manwus	m a n w u s
mar	m a r
maranaþa	m a r a n a θ a
marei	m a r i
marhs	m a r h s
marhskalks	m a r h s k a l k s
marikreitus	m a r ɪ k r i t u s
marisaiws	m a r ɪ s ɛ w s
marka	m a r k a
markōn	m a r k o n
martwr	m a r t w r̥
marþus	m a r θ u s
marzeins	m a r z i n s
marzj	m a r z j
masts	m a s t s
matibalgs	m a t ɪ β a l ɡ s
matj	m a t j
mats	m a t s
maþa	m a θ a
maþl	m a θ l̥
maþlei	m a θ l i
maþleis	m a θ l i s
maþlj	m a θ l j
maudj	m ɔ ð j
mauiþs	m ɔ ɪ θ s
maukō	m ɔ k o
maur	m ɔ r
maúrgins	m ɔ r ɡ ɪ n s
maúrgj	m ɔ r ɡ j
maúrgus	m ɔ r ɡ u s
maúrn	m ɔ r n̥
maúrþr	m ɔ r θ r̥
maúrþrja	m ɔ r θ r j a
maúrþrj	m ɔ r θ r j
mawi	m a w ɪ
mawilō	m a w ɪ l o
mēgs	m e ɣ s
meins	m i n s
mēki	m e k ɪ
mēl	m e l
mēla	m e l a
mēleins	m e l i n s
mēli	m e l ɪ
mēlj	m e l j
mēna	m e n a
mēnōþs	m e n o θ s
mēra	m e r a
mērei	m e r i
mēreins	m e r i n s
mēreis	m e r i s
mēriþa	m e r ɪ θ a
mērj	m e r j
mērjands	m e r j a n d s
mērn	m e r n̥
mēs	m e s
mēt	m e t
midgardiwaddjus	m ɪ ð ɡ a r d ɪ w a dː j u s
midjasweipains	m ɪ ð j a s w i p ɛ n s
midjis	m ɪ ð j ɪ s
midjungards	m ɪ ð j u n ɡ a r d s
miduma	m ɪ ð u m a
midumōn	m ɪ ð u m o n
midumōnds	m ɪ ð u m o n d s
midus	m ɪ ð u s
mikilaba	m ɪ k ɪ l a β a
mikildūþs	m ɪ k ɪ l d u θ s
mikilei	m ɪ k ɪ l i
mikilj	m ɪ k ɪ l j
mikiln	m ɪ k ɪ l n̥
mikils	m ɪ k ɪ l s
mikilþūhts	m ɪ k ɪ l θ u h t s
mildeis	m ɪ l d i s
mildiþa	m ɪ l d ɪ θ a
milhma	m ɪ l h m a
militōn	m ɪ l ɪ t o n
miliþ	m ɪ l ɪ θ
milt	m ɪ l t
milti	m ɪ l t ɪ
miluks	m ɪ l u k s
mimz	m ɪ m z
minds	m ɪ n d s
minnists	m ɪ nː ɪ s t s
minniza	m ɪ nː ɪ z a
mins	m ɪ n s
minzn	m ɪ n z n̥
missa	m ɪ sː a
missadēþs	m ɪ sː a ð e θ s
missaleiks	m ɪ sː a l i k s
missaquiss	m ɪ sː a kʷ u ɪ sː
missatauj	m ɪ sː a t ɔ j
missō	m ɪ sː o
mitadjō	m ɪ t a ð j o
mit	m ɪ t
mitaþs	m ɪ t a θ s
mitōn	m ɪ t o n
mitōns	m ɪ t o n s
miþ	m ɪ θ
miþanakumbj	m ɪ θ a n a k u m b j
miþarbaidj	m ɪ θ a r b ɛ ð j
miþfaginōn	m ɪ θ ɸ a ɣ ɪ n o n
miþfrahinþ	m ɪ θ ɸ r a h ɪ n θ
miþgadauþn	m ɪ θ ɡ a ð ɔ θ n̥
miþgagg	m ɪ θ ɡ a ŋ ɡ
miþgaleikōn	m ɪ θ ɡ a l i k o n
miþganawistrōn	m ɪ θ ɡ a n a w ɪ s t r o n
miþgaqiuj	m ɪ θ ɡ a kʷ ɪ u j
miþgasatj	m ɪ θ ɡ a s a t j
miþgaswilt	m ɪ θ ɡ a s w ɪ l t
miþgatimrj	m ɪ θ ɡ a t ɪ m r j
miþgatiuh	m ɪ θ ɡ a t ɪ u h
miþgawis	m ɪ θ ɡ a w ɪ s
miþinngaleiþ	m ɪ θ ɪ nː ɣ a l i θ
miþinsandj	m ɪ θ ɪ n s a n d j
miþkaúrj	m ɪ θ k ɔ r j
miþlib	m ɪ θ l ɪ β
miþlitj	m ɪ θ l ɪ t j
miþmatj	m ɪ θ m a t j
miþnim	m ɪ θ n ɪ m
miþqim	m ɪ θ kʷ ɪ m
miþqiþ	m ɪ θ kʷ ɪ θ
miþrōdj	m ɪ θ r o ð j
miþsandj	m ɪ θ s a n d j
miþsatj	m ɪ θ s a t j
miþskalkinōn	m ɪ θ s k a l k ɪ n o n
miþsōkj	m ɪ θ s o k j
miþstand	m ɪ θ s t a n d
miþþ	m ɪ θː
miþþanei	m ɪ θː a n i
miþþiudanōn	m ɪ θː ɪ u ð a n o n
miþurraisj	m ɪ θ u rː ɛ s j
miþurreis	m ɪ θ u rː i s
miþushramj	m ɪ θ u s h r a m j
miþuskein	m ɪ θ u s k i n
miþweitwōdj	m ɪ θ w i t w o ð j
miþwis	m ɪ θ w ɪ s
miþwiss	m ɪ θ w ɪ sː
miþwissei	m ɪ θ w ɪ sː i
miþwit	m ɪ θ w ɪ t
mizdō	m ɪ z d o
mōdags	m o ð a ɣ s
mōj	m o j
mōta	m o t a
mōt	m o t
mōtāreis	m o t a r i s
mōtastaþs	m o t a s t a θ s
mōtj	m o t j
mōþs	m o θ s
mudw	m u ð w
mudweins	m u ð w i n s
mug	m u ɣ
muirjō	m u ɪ r j o
mūkamōdei	m u k a m o ð i
mūkamōþs	m u k a m o θ s
mūks	m u k s
mūlā	m u l a
mulda	m u l d a
muldeins	m u l d i n s
mulma	m u l m a
mūlus	m u l u s
mun	m u n
munda	m u n d a
mundōn	m u n d o n
mundrei	m u n d r i
mundrs	m u n d r̥ s
munds	m u n d s
munnōn	m u nː o n
muns	m u n s
munþs	m u n θ s
mūs	m u s
mūstriggs	m u s t r ɪ ŋ ɡ s
nadrs	n a ð r̥ s
naglj	n a ɣ l j
nagls	n a ɣ l̥ s
nah	n a h
nahtamats	n a h t a m a t s
nahts	n a h t s
naiteins	n ɛ t i n s
naitj	n ɛ t j
namnj	n a m n j
namō	n a m o
nanþ	n a n θ
nanþj	n a n θ j
nanþs	n a n θ s
naqadei	n a kʷ a ð i
naqaþs	n a kʷ a θ s
nardus	n a r d u s
naseins	n a s i n s
nasj	n a s j
nasjands	n a s j a n d s
nastilō	n a s t ɪ l o
nati	n a t ɪ
natj	n a t j
nats	n a t s
nau	n ɔ
naubaimbair	n ɔ β ɛ m b ɛ r
naudibandi	n ɔ ð ɪ β a n d ɪ
naudiþaúrfts	n ɔ ð ɪ θ ɔ r ɸ t s
naúh	n ɔ h
naúha	n ɔ h a
naúhþ	n ɔ h θ
naúhþanuh	n ɔ h θ a n u h
naúhuþþ	n ɔ h u θː
naúrþs	n ɔ r θ s
naus	n ɔ s
nauþj	n ɔ θ j
nauþs	n ɔ θ s
nawis	n a w ɪ s
nawistr	n a w ɪ s t r̥
nawistrōn	n a w ɪ s t r o n
nawiswar	n a w ɪ s w a r
ne	n e
nēdrō	n e ð r o
nēƕ	n e ʍ
nēƕa	n e ʍ a
nēƕis	n e ʍ ɪ s
nēƕjansik	n e ʍ j a n s ɪ k
nēƕundi	n e ʍ u n d ɪ
nēƕundja	n e ʍ u n d j a
nei	n i
neiþ	n i θ
neiw	n i w
nēm	n e m
nēmeigs	n e m i ɣ s
nēms	n e m s
nēþla	n e θ l a
ni	n ɪ
nibai	n ɪ β ɛ
nidwa	n ɪ ð w a
nih	n ɪ h
nim	n ɪ m
nis	n ɪ s
nists	n ɪ s t s
niþ	n ɪ θ
niþjis	n ɪ θ j ɪ s
niþjō	n ɪ θ j o
niþþ	n ɪ θː
niu	n ɪ u
niuhseins	n ɪ u h s i n s
niuhsj	n ɪ u h s j
niuj	n ɪ u j
niujasatiþs	n ɪ u j a s a t ɪ θ s
niujis	n ɪ u j ɪ s
niujiþa	n ɪ u j ɪ θ a
niuklahei	n ɪ u k l a h i
niuklahs	n ɪ u k l a h s
niun	n ɪ u n
niunda	n ɪ u n d a
niungeldo	n ɪ u n ɡ e l d o
niuntēhund	n ɪ u n t e h u n d
niut	n ɪ u t
niuþs	n ɪ u θ s
nōhj	n o h j
nōhn	n o h n̥
nōhs	n o h s
noicz	n o ɪ c z
nōta	n o t a
nū	n u
nūh	n u h
numja	n u m j a
numts	n u m t s
nūnū	n u n u
nuta	n u t a
nuts	n u t s
ō	o
ofts	o ɸ t s
ōg	o ɣ
ōgj	o ɣ j
ōsanna	o s a nː a
Ostrogoþi	o s t r o ɣ o θ ɪ
ōþal	o θ a l
ōþli	o θ l ɪ
paida	p ɛ ð a
paidōn	p ɛ ð o n
paíntēdags	p ɛ n t e ð a ɣ s
paíntēkustē	p ɛ n t e k u s t e
paírþra	p ɛ r θ r a
papa	p a p a
paraklētus	p a r a k l e t u s
paraskaíwē	p a r a s k ɛ w e
pareinsdags	p a r i n s d a ɣ s
parra	p a rː a
paska	p a s k a
paúrpura	p ɔ r p u r a
paúrpurōn	p ɔ r p u r o n
paúrpurōþs	p ɔ r p u r o θ s
pauta	p ɔ t a
peika	p i k a
peikabagms	p i k a β a ɣ m̥ s
pistikeins	p ɪ s t ɪ k i n s
plapja	p l a p j a
plat	p l a t
plinsj	p l ɪ n s j
plōgs	p l o ɣ s
pragga	p r a ŋ ɡ a
pragg	p r a ŋ ɡ
praitōriaún	p r ɛ t o r ɪ ɔ n
praízbwtaírei	p r ɛ z b w t ɛ r i
praúfēteis	p r ɔ ɸ e t i s
praúfētes	p r ɔ ɸ e t e s
praúfētja	p r ɔ ɸ e t j a
praúfētj	p r ɔ ɸ e t j
psalmō	p s a l m o
puggs	p u ŋ ɡ s
pund	p u n d
qainōn	kʷ ɛ n o n
qaírnus	kʷ ɛ r n u s
qaírrei	kʷ ɛ rː i
qaírrus	kʷ ɛ rː u s
qaírþra	kʷ ɛ r θ r a
qaíru	kʷ ɛ r u
qaiwj	kʷ ɛ w j
qēniþs	kʷ e n ɪ θ s
qēnj	kʷ e n j
qēns	kʷ e n s
qēþs	kʷ e θ s
qidi	kʷ ɪ ð ɪ
qil	kʷ ɪ l
qim	kʷ ɪ m
qinakunds	kʷ ɪ n a k u n d s
qinein	kʷ ɪ n i n
qineins	kʷ ɪ n i n s
qinō	kʷ ɪ n o
qiss	kʷ ɪ sː
qisteins	kʷ ɪ s t i n s
qistj	kʷ ɪ s t j
qistn	kʷ ɪ s t n̥
qists	kʷ ɪ s t s
qiþ	kʷ ɪ θ
qiþr	kʷ ɪ θ r̥
qiþuhaftō	kʷ ɪ θ u h a ɸ t o
qiþuhafts	kʷ ɪ θ u h a ɸ t s
qiþus	kʷ ɪ θ u s
qiuj	kʷ ɪ u j
qiun	kʷ ɪ u n
qius	kʷ ɪ u s
qrammiþa	kʷ r a mː ɪ θ a
qramms	kʷ r a mː s
qums	kʷ u m s
qumþs	kʷ u m θ s
rabbaúnei	r a bː ɔ n i
rabbei	r a bː i
ragin	r a ɣ ɪ n
ragineis	r a ɣ ɪ n i s
ragini	r a ɣ ɪ n ɪ
raginōn	r a ɣ ɪ n o n
ragins	r a ɣ ɪ n s
rahna	r a h n a
rahnj	r a h n j
rahtōn	r a h t o n
raida	r ɛ ð a
raideins	r ɛ ð i n s
raidj	r ɛ ð j
raíhtaba	r ɛ h t a β a
raíhtei	r ɛ h t i
raíhteins	r ɛ h t i n s
raíhtis	r ɛ h t ɪ s
raíhtiþa	r ɛ h t ɪ θ a
raíhtj	r ɛ h t j
raíhts	r ɛ h t s
raip	r ɛ p
raisj	r ɛ s j
raiþs	r ɛ θ s
rak	r a k
raka	r a k a
rakj	r a k j
ram	r a m
rampa	r a m p a
r	r
randa	r a n d a
randus	r a n d u s
ranneins	r a nː i n s
rannj	r a nː j
rapōn	r a p o n
rappa	r a pː a
rasa	r a s a
rasta	r a s t a
raþ	r a θ
raþj	r a θ j
raþjō	r a θ j o
raþs	r a θ s
rauba	r ɔ β a
raubōn	r ɔ β o n
raúhtj	r ɔ h t j
raupa	r ɔ p a
raupj	r ɔ p j
raus	r ɔ s
rausa	r ɔ s a
raustj	r ɔ s t j
rauþs	r ɔ θ s
razda	r a z d a
razn	r a z n̥
razzj	r a zː j
rēd	r e ð
rēhsns	r e h s n̥ s
reid	r i ð
reikeis	r i k i s
reiki	r i k ɪ
reikinōn	r i k ɪ n o n
reiks	r i k s
reir	r i r
reirō	r i r o
reis	r i s
rēþs	r e θ s
ribja	r ɪ β j a
rift	r ɪ ɸ t
rigilō	r ɪ ɣ ɪ l o
rign	r ɪ ɣ n̥
rignj	r ɪ ɣ n j
rik	r ɪ k
rimis	r ɪ m ɪ s
rinn	r ɪ nː
rinnō	r ɪ nː o
rintsch	r ɪ n t s c h
riqis	r ɪ kʷ ɪ s
riqizeins	r ɪ kʷ ɪ z i n s
riqizj	r ɪ kʷ ɪ z j
rists	r ɪ s t s
riub	r ɪ u β
riud	r ɪ u ð
riudei	r ɪ u ð i
riudi	r ɪ u ð ɪ
riurei	r ɪ u r i
riureis	r ɪ u r i s
riurj	r ɪ u r j
rōdeins	r o ð i n s
rōdj	r o ð j
rōhsns	r o h s n̥ s
Rugeis	r u ɣ i s
rugi	r u ɣ ɪ
rukka	r u kː a
rūm	r u m
Rūma	r u m a
rūmn	r u m n̥
Rūmōneis	r u m o n i s
rūms	r u m s
rūna	r u n a
rūni	r u n ɪ
runjō	r u n j o
runs	r u n s
rupatj	r u p a t j
rus	r u s
rusma	r u s m a
sa	s a
saba	s a β a
sab	s a β
sabbatō	s a bː a t o
sada	s a ð a
Saddukaieis	s a dː u k ɛ i s
saei	s a i
sag	s a ɣ
saggqj	s a ŋ ɡ kʷ j
saggqs	s a ŋ ɡ kʷ s
saggws	s a ɡ ɡ w s
sagja	s a ɣ j a
sagjis	s a ɣ j ɪ s
sah	s a h
sahrja	s a h r j a
sahs	s a h s
sahtaba	s a h t a β a
sahts	s a h t s
saƕazuh	s a ʍ a z u h
sai	s ɛ
sái	s ɛ
saíhs	s ɛ h s
saíhsta	s ɛ h s t a
saíƕ	s ɛ ʍ
sail	s ɛ l
sailj	s ɛ l j
sainj	s ɛ n j
sainus	s ɛ n u s
saio	s ɛ o
sair	s ɛ r
saiwala	s ɛ w a l a
saiws	s ɛ w s
sak	s a k
sakjō	s a k j o
sakkus	s a kː u s
sakuls	s a k u l s
salba	s a l b a
salbōn	s a l b o n
salbōns	s a l b o n s
saldra	s a l d r a
saliþwa	s a l ɪ θ w a
salj	s a l j
sals	s a l s
salt	s a l t
saltans	s a l t a n s
salwa	s a l w a
sama	s a m a
samafraþjis	s a m a ɸ r a θ j ɪ s
samakuns	s a m a k u n s
samalauþs	s a m a l ɔ θ s
samaleikō	s a m a l i k o
samaleiks	s a m a l i k s
samana	s a m a n a
samaqiss	s a m a kʷ ɪ sː
Samareitēs	s a m a r i t e s
samasaiwals	s a m a s ɛ w a l s
samaþ	s a m a θ
samj	s a m j
sanda	s a n d a
sandj	s a n d j
sanþs	s a n θ s
sarwa	s a r w a
sateins	s a t i n s
satiþs	s a t ɪ θ s
satj	s a t j
saþs	s a θ s
saúhts	s ɔ h t s
sáuil	s ɔ ɪ l
sauleins	s ɔ l i n s
saulj	s ɔ l j
sauljō	s ɔ l j o
sauln	s ɔ l n̥
sauls	s ɔ l s
Saúr	s ɔ r
saúrga	s ɔ r ɡ a
saúrg	s ɔ r ɡ
Saúrini	s ɔ r ɪ n ɪ
Saúrja	s ɔ r j a
saurj	s ɔ r j
sauþa	s ɔ θ a
sauþs	s ɔ θ s
scancia	s c a n c ɪ a
scaptus	s c a p t u s
schediit	s c h e ð ɪ ɪ t
scrama	s c r a m a
Seidoneis	s i ð o n i s
seil	s i l
seinagaírns	s i n a ɣ ɛ r n̥ s
seins	s i n s
seiteins	s i t i n s
seiþs	s i θ s
seiþus	s i θ u s
sēlei	s e l i
sēls	s e l s
sēti	s e t ɪ
sēþs	s e θ s
sibakþani	s ɪ β a k θ a n ɪ
sibja	s ɪ β j a
sibjis	s ɪ β j ɪ s
sibjōn	s ɪ β j o n
sibun	s ɪ β u n
sibunda	s ɪ β u n d a
sibuntēhund	s ɪ β u n t e h u n d
sidōnsis	s ɪ ð o n s ɪ s
sidus	s ɪ ð u s
sif	s ɪ ɸ
siggw	s ɪ ɡ ɡ w
sigis	s ɪ ɣ ɪ s
sigislaun	s ɪ ɣ ɪ s l ɔ n
siglj	s ɪ ɣ l j
sigljō	s ɪ ɣ l j o
sigq	s ɪ ŋ kʷ
sigus	s ɪ ɣ u s
sik	s ɪ k
sikls	s ɪ k l̥ s
sil	s ɪ l
silba	s ɪ l b a
silbasiuneis	s ɪ l b a s ɪ u n i s
silbawiljis	s ɪ l b a w ɪ l j ɪ s
silda	s ɪ l d a
sildaleik	s ɪ l d a l i k
sildaleikj	s ɪ l d a l i k j
sildaleikn	s ɪ l d a l i k n̥
sildaleiks	s ɪ l d a l i k s
silubr	s ɪ l u β r̥
silubreins	s ɪ l u β r i n s
simlē	s ɪ m l e
sinaps	s ɪ n a p s
sineigs	s ɪ n i ɣ s
siniskalks	s ɪ n ɪ s k a l k s
sins	s ɪ n s
sinteinō	s ɪ n t i n o
sinteins	s ɪ n t i n s
sinþ	s ɪ n θ
sinþs	s ɪ n θ s
sipōneis	s ɪ p o n i s
sipōnj	s ɪ p o n j
sis	s ɪ s
sisi	s ɪ s ɪ
sit	s ɪ t
sitls	s ɪ t l̥ s
siud	s ɪ u ð
siuj	s ɪ u j
siuk	s ɪ u k
siukei	s ɪ u k i
siuks	s ɪ u k s
siuneis	s ɪ u n i s
siuniba	s ɪ u n ɪ β a
siuns	s ɪ u n s
siurjō	s ɪ u r j o
skab	s k a β
skadus	s k a ð u s
skadweins	s k a ð w i n s
skadwj	s k a ð w j
skaftjansik	s k a ɸ t j a n s ɪ k
skafts	s k a ɸ t s
skagkja	s k a ŋ k j a
skagkj	s k a ŋ k j
skaid	s k ɛ ð
skaideins	s k ɛ ð i n s
skaidn	s k ɛ ð n̥
skaírmj	s k ɛ r m j
skaírnj	s k ɛ r n j
skairpa	s k ɛ r p a
skalja	s k a l j a
skalkinassus	s k a l k ɪ n a sː u s
skalkinōn	s k a l k ɪ n o n
skalks	s k a l k s
skama	s k a m a
skamansik	s k a m a n s ɪ k
skanda	s k a n d a
skapja	s k a p j a
skapj	s k a p j
skapt	s k a p t
skarda	s k a r d a
skarja	s k a r j a
skarj	s k a r j
skarpa	s k a r p a
skattja	s k a tː j a
skatts	s k a tː s
skaþaliggs	s k a θ a l ɪ ŋ ɡ s
skaþis	s k a θ ɪ s
skaþj	s k a θ j
skaþuls	s k a θ u l s
skaudaraip	s k ɔ ð a r ɛ p
skaunei	s k ɔ n i
skauns	s k ɔ n s
skaúrō	s k ɔ r o
skaúrpjō	s k ɔ r p j o
skauts	s k ɔ t s
skeima	s k i m a
skein	s k i n
skeireins	s k i r i n s
skeirja	s k i r j a
skeirj	s k i r j
skeirs	s k i r s
skeit	s k i t
skēwj	s k e w j
skildus	s k ɪ l d u s
skilja	s k ɪ l j a
skilla	s k ɪ lː a
skilliggs	s k ɪ lː ɪ ŋ ɡ s
skip	s k ɪ p
skiub	s k ɪ u β
skiut	s k ɪ u t
skōhs	s k o h s
skōhsl	s k o h s l̥
skorr	s k o rː
skorristr	s k o rː ɪ s t r̥
skramma	s k r a mː a
skreit	s k r i t
skritn	s k r ɪ t n̥
skuft	s k u ɸ t
skuggwa	s k u ɡ ɡ w a
skula	s k u l a
skul	s k u l
skuld	s k u l d
skuldō	s k u l d o
skulka	s k u l k a
skūms	s k u m s
skuppa	s k u pː a
skūra	s k u r a
Skwþus	s k w θ u s
slahals	s l a h a l s
slah	s l a h
slahs	s l a h s
slahta	s l a h t a
slaíhts	s l ɛ h t s
slaufa	s l ɔ ɸ a
slaúhts	s l ɔ h t s
slaupj	s l ɔ p j
slaw	s l a w
slawiþa	s l a w ɪ θ a
sleip	s l i p
sleipj	s l i p j
sleiþa	s l i θ a
sleiþei	s l i θ i
sleiþj	s l i θ j
sleiþs	s l i θ s
slēp	s l e p
slēps	s l e p s
slimbs	s l ɪ m b s
slind	s l ɪ n d
slipj	s l ɪ p j
slitj	s l ɪ t j
sliup	s l ɪ u p
smaírþr	s m ɛ r θ r̥
smakka	s m a kː a
smakkabagms	s m a kː a β a ɣ m̥ s
smals	s m a l s
smaltj	s m a l t j
smalts	s m a l t s
smarna	s m a r n a
smeit	s m i t
smikwa	s m ɪ k w a
smiþa	s m ɪ θ a
smiþōn	s m ɪ θ o n
smiþs	s m ɪ θ s
smiug	s m ɪ u ɣ
smwrn	s m w r n̥
snaga	s n a ɣ a
snaírp	s n ɛ r p
snaiws	s n ɛ w s
snarpj	s n a r p j
sneiþ	s n i θ
sneiw	s n i w
snills	s n ɪ lː s
snippa	s n ɪ pː a
sniumj	s n ɪ u m j
sniums	s n ɪ u m s
sniumundō	s n ɪ u m u n d o
sniw	s n ɪ w
snōbō	s n o β o
snōrjō	s n o r j o
snōrs	s n o r s
snutrei	s n u t r i
snutrs	s n u t r̥ s
snuzō	s n u z o
sōkāreis	s o k a r i s
sōkeins	s o k i n s
sōkja	s o k j a
sōkj	s o k j
sōkns	s o k n̥ s
sōks	s o k s
sōna	s o n a
sōþ	s o θ
sōþj	s o θ j
spadingus	s p a ð ɪ n ɡ u s
spaíha	s p ɛ h a
spaíhōn	s p ɛ h o n
spaíkulatur	s p ɛ k u l a t u r
spaiskuldr	s p ɛ s k u l d r̥
sparra	s p a rː a
sparuks	s p a r u k s
sparwa	s p a r w a
sparwāreis	s p a r w a r i s
spaúra	s p ɔ r a
spaúrds	s p ɔ r d s
spēdiza	s p e ð ɪ z a
speiw	s p i w
spēþs	s p e θ s
speuts	s p e u t s
spilda	s p ɪ l d a
spill	s p ɪ lː
spilla	s p ɪ lː a
spillōn	s p ɪ lː o n
spinn	s p ɪ nː
spitus	s p ɪ t u s
