ID,Description,Entry_ID,Spacy,Parameter_ID
1829_verstummen-1,verstummen,0,verstummen,1829_verstummendasschweigenfortsetzen
1829_dasschweigenfortsetzen-2,das Schweigen fortsetzen,0,das Schweigen fortsetzen,1829_verstummendasschweigenfortsetzen
1830_verdorren-1,verdorren,0,verdorren,1830_verdorren
1831_sichenthalten-1,sich enthalten,0,sich enthalten,1831_sichenthalten
1832_enthaltsam-1,enthaltsam,0,enthaltsam,1832_enthaltsam
1833_vergleichen-1,vergleichen,0,vergleichen,1833_vergleichen
1834_verdorren-1,verdorren,0,verdorren,1834_verdorrenvertrocknen
1834_vertrocknen-2,vertrocknen,0,vertrocknen,1834_verdorrenvertrocknen
1835_vorwartskommen-1,vorwärtskommen,0,vorwärtskommen,1835_vorwartskommenhervorsprieenwachsenzunehmen
1835_hervorsprieen-2,hervorsprießen,0,,1835_vorwartskommenhervorsprieenwachsenzunehmen
1835_wachsen-3,wachsen,0,wachsen,1835_vorwartskommenhervorsprieenwachsenzunehmen
1835_zunehmen-4,zunehmen,0,zunehmen,1835_vorwartskommenhervorsprieenwachsenzunehmen
1836_segnen-1,segnen,0,segnen,1836_segnendensegengeben
1836_densegengeben-2,den Segen geben,0,den Segen geben,1836_segnendensegengeben
1837_dienstbarmachen-1,dienstbar machen,0,dienstbar machen,1837_dienstbarmachenunterjochendurchbohren
1837_unterjochen-2,unterjochen,0,unterjochen,1837_dienstbarmachenunterjochendurchbohren
1837_durchbohren-3,durchbohren,0,durchbohren,1837_dienstbarmachenunterjochendurchbohren
