ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProsodicStructure
f136,,Gothic,135_achseachselarune,ahsa,ahsa,a h s a,,Kobler1989,,,^ ahsa $,default,VCCV
f137,,Gothic,136_acht,ahtau,ahtau,a h t ɔ,,Kobler1989,,,^ ahtau $,default,VCCV
f138,,Gothic,137_achttagig,ahtaudōgs,ahtaudōgs,a h t ɔ ð o ɣ s,,Kobler1989,,,^ ahtaudōgs $,default,VCCVCVCC
f139,,Gothic,138_achtzehn,ahtautaihun,ahtautaihun,a h t ɔ t ɛ h u n,,Kobler1989,,,^ ahtautaihun $,default,VCCVCVCVC
f140,,Gothic,139_achtzig,ahtautēhund,ahtautēhund,a h t ɔ t e h u n d,,Kobler1989,,,^ ahtautēhund $,default,VCCVCVCVCC
f141,,Gothic,140_achte,ahtuda,ahtuda,a h t u ð a,,Kobler1989,,,^ ahtuda $,default,VCCVCV
f142,,Gothic,141_flussgewasser,aƕa,aƕa,a ʍ a,,Kobler1989,,,^ aƕa $,default,VCV
f143,,Gothic,142_feuerbrand,aids,aids,ɛ ð s,,Kobler1989,,,^ aids $,default,VCC
f144,,Gothic,143_offnedich,aíffaþa,aíffaþa,ɛ ɸː a θ a,,Kobler1989,,,^ aíffaþa $,default,VCVCV
f145,,Gothic,2359_schrecklich,aifrs,aifrs,ɛ ɸ r̥ s,,Kobler1989,,,^ aifrs $,default,VCVC
f146,,Gothic,145_haben,aigan,aigan,ɛ ɣ a n,,Kobler1989,,,^ aigan $,default,VCVC
f147,,Gothic,3711_eigentumvermogen,aigin,aigin,ɛ ɣ ɪ n,,Kobler1989,,,^ aigin $,default,VCVC
f148,,Gothic,147_aneignen,aiginōn,aiginōn,ɛ ɣ ɪ n o n,,Kobler1989,,,^ aiginōn $,default,VCVCVC
f149,,Gothic,148_eigen,aigins,aigins,ɛ ɣ ɪ n s,,Kobler1989,,,^ aigins $,default,VCVCC
f150,,Gothic,149_klagebitte,aihtr,aihtr,ɛ h t r̥,,Kobler1989,,,^ aihtr $,default,VCCC
f151,,Gothic,150_betenbettelnerbittenfursichverlangen,aihtrōn,aihtrōn,ɛ h t r o n,,Kobler1989,,,^ aihtrōn $,default,VCCCVC
f152,,Gothic,151_bittegebet,aihtrōns,aihtrōns,ɛ h t r o n s,,Kobler1989,,,^ aihtrōns $,default,VCCCVCC
f153,,Gothic,152_eigentumbesitzhabegut,aihts,aihts,ɛ h t s,,Kobler1989,,,^ aihts $,default,VCCC
f154,,Gothic,153_pferdedorndornstrauch,aíƕatundi,aíƕatundi,ɛ ʍ a t u n d ɪ,,Kobler1989,,,^ aíƕatundi $,default,VCVCVCCV
f155,,Gothic,1038_pferderune,aíƕs,aíƕs,ɛ ʍ s,,Kobler1989,,,^ aíƕs $,default,VCC
f156,,Gothic,155_sprechen,aikan,aikan,ɛ k a n,,Kobler1989,,,^ aikan $,default,VCVC
f157,,Gothic,156_kirchegotteshausgemeinde,aíkklesjō,aíkklesjō,ɛ kː l e s j o,,Kobler1989,,,^ aíkklesjō $,default,VCCVCCV
f158,,Gothic,157_eiche,aiks,aiks,ɛ k s,,Kobler1989,,,^ aiks $,default,VCC
f159,,Gothic,158_eloimeingott,aílōe,aílōe,ɛ l o e,,Kobler1989,,,^ aílōe $,default,VCVV
f160,,Gothic,159_eingeboren,ainabaúr,ainabaúr,ɛ n a β ɔ r,,Kobler1989,,,^ ainabaúr $,default,VCVCVC
f161,,Gothic,160_einzig,ainaha,ainaha,ɛ n a h a,,Kobler1989,,,^ ainaha $,default,VCVCV
f162,,Gothic,161_vereinzeltalleinstehendeinzeln,ainakls,ainakls,ɛ n a k l̥ s,,Kobler1989,,,^ ainakls $,default,VCVCVC
f163,,Gothic,162_einheiteinmutigkeit,ainamundiþa,ainamundiþa,ɛ n a m u n d ɪ θ a,,Kobler1989,,,^ ainamundiþa $,default,VCVCVCCVCV
f164,,Gothic,3293_einmutig,ainamunds,ainamunds,ɛ n a m u n d s,,Kobler1989,,,^ ainamunds $,default,VCVCVCCC
f165,,Gothic,164_einfaltig,ainfalþaba,ainfalþaba,ɛ n ɸ a l θ a β a,,Kobler1989,,,^ ainfalþaba $,default,VCCVCCVCV
f166,,Gothic,165_einfalteinfachheit,ainfalþei,ainfalþei,ɛ n ɸ a l θ i,,Kobler1989,,,^ ainfalþei $,default,VCCVCCV
f167,,Gothic,166_einfacheinfaltig,ainfalþs,ainfalþs,ɛ n ɸ a l θ s,,Kobler1989,,,^ ainfalþs $,default,VCCVCCC
f168,,Gothic,167_einjeder,ainƕarjizuh,ainƕarjizuh,ɛ n ʍ a r j ɪ z u h,,Kobler1989,,,^ ainƕarjizuh $,default,VCCVCCVCVC
f169,,Gothic,2296_jedervonbeiden,ainƕaþaruh,ainƕaþaruh,ɛ n ʍ a θ a r u h,,Kobler1989,,,^ ainƕaþaruh $,default,VCCVCVCVC
f170,,Gothic,3805_elf,ainlif,ainlif,ɛ n l ɪ ɸ,,Kobler1989,,,^ ainlif $,default,VCCVC
f171,,Gothic,170_einalleinigeineinzigereingewisserirgendeineinmal,ains,ains,ɛ n s,,Kobler1989,,,^ ains $,default,VCC
f172,,Gothic,171_irgendeinjederniemand,ainshun,ainshun,ɛ n s h u n,,Kobler1989,,,^ ainshun $,default,VCCCVC
f173,,Gothic,172_bischofsamt,aípiskaúpei,aípiskaúpei,ɛ p ɪ s k ɔ p i,,Kobler1989,,,^ aípiskaúpei $,default,VCVCCVCV
f174,,Gothic,173_bischof,aípiskaúpus,aípiskaúpus,ɛ p ɪ s k ɔ p u s,,Kobler1989,,,^ aípiskaúpus $,default,VCVCCVCVC
f175,,Gothic,174_brief,aípistaúle,aípistaúle,ɛ p ɪ s t ɔ l e,,Kobler1989,,,^ aípistaúle $,default,VCVCCVCV
f176,,Gothic,175_fruh,air,air,ɛ r,,Kobler1989,,,^ air $,default,VC
f177,,Gothic,176_gesandtersein,airinōn,airinōn,ɛ r ɪ n o n,,Kobler1989,,,^ airinōn $,default,VCVCVC
f178,,Gothic,177_langsteherfruher,airis,airis,ɛ r ɪ s,,Kobler1989,,,^ airis $,default,VCVC
f179,,Gothic,178_vorfahre,airiza,airiza,ɛ r ɪ z a,,Kobler1989,,,^ airiza $,default,VCVCV
f180,,Gothic,4589_heilig,aírknis,aírknis,ɛ r k n ɪ s,,Kobler1989,,,^ aírknis $,default,VCCCVC
f181,,Gothic,180_lauterkeitechtheitreinheit,aírkniþa,aírkniþa,ɛ r k n ɪ θ a,,Kobler1989,,,^ aírkniþa $,default,VCCCVCV
f182,,Gothic,4589_heilig,aírkns,aírkns,ɛ r k n̥ s,,Kobler1989,,,^ aírkns $,default,VCCVC
f183,,Gothic,182_grogewaltig,airmans,airmans,ɛ r m a n s,,Kobler1989,,,^ airmans $,default,VCCVCC
f184,,Gothic,183_erdelanderdreicherdboden,aírþa,aírþa,ɛ r θ a,,Kobler1989,,,^ aírþa $,default,VCCV
f185,,Gothic,184_vonirdischerabkunftvondererdestammendirdisch,aírþakunds,aírþakunds,ɛ r θ a k u n d s,,Kobler1989,,,^ aírþakunds $,default,VCCVCVCCC
f186,,Gothic,185_irdischirden,aírþeins,aírþeins,ɛ r θ i n s,,Kobler1989,,,^ aírþeins $,default,VCCVCC
f187,,Gothic,186_botegesandtschaftabgesandter,airus,airus,ɛ r u s,,Kobler1989,,,^ airus $,default,VCVC
f188,,Gothic,187_irreirrlehreirrtum,aírzei,aírzei,ɛ r z i,,Kobler1989,,,^ aírzei $,default,VCCV
